"Année"|"Nb. transactions"|"Prix moyen seigle Domfront"|"Valeur total trans."|"Valer hors nobles"|"Valeur nobles"|"% val noble"|"val noble corrige"|"valeurs soustraites"
1760|125|3.5|80|70|10|12.5|10|0
1761|195|3.8|70|64|6|8.57142857142857|6|0
1762|190|3.9|80|60|20|25|20|0
1763|205|4.2|70|60|10|14.2857142857143|10|0
1764|125|3.5|50|45|5|10|5|0
1765|130|2.4|75|50|25|33.3333333333333|25|0
1766|128|3|55|45|10|18.1818181818182|10|0
1767|120|4|75|50|25|33.3333333333333|25|0
1768|110|4.4|60|50|10|16.6666666666667|10|0
1769|120|5.5|80|55|25|31.25|25|0
1770|140|6.2|100|95|5|5|5|0
1771|145|6.5|105|95|10|9.52380952380952|10|0
1772|150|6.8|100|95|5|5|5|0
1773|180|7|160|100|60|37.5|60|0
1774|240|5.9|95|85|10|10.5263157894737|10|0
1775|250|6|345|105|240|69.5652173913043|15|225
1776|250|5.2|100|100|0|0|0|0
1777|165|4.5|120|110|10|8.33333333333333|10|0
1778|170|5.2|355|80|275|77.4647887323944|58|217
1779|140||140|130|10|7.14285714285714|10|0
1780|165||160|90|70|43.75|70|0
1781|170||125|110|15|12|15|0
1782|185||130|115|15|11.5384615384615|15|0
1783|205||95|95|0|0|0|0
1784|190||170|130|40|23.5294117647059|40|0
1785|185||185|150|35|18.9189189189189|35|0
1786|160||195|120|75|38.4615384615385|75|0
1787|180||160|150|10|6.25|10|0
1788|220||140|138|2|1.42857142857143|2|0
1789|215||135|95|40|29.6296296296296|40|0
1790|220||||||0|0
1791|155||||||0|0
1792|180||||||0|0
